2024-06-10T16:05:27.594+09:00 DEBUG 22194 --- [backend] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/repository/ExerciseRepository.class]
2024-06-10T16:05:27.595+09:00 DEBUG 22194 --- [backend] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/repository/FeedbackRepository.class]
2024-06-10T16:05:27.595+09:00 DEBUG 22194 --- [backend] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/repository/UserProfileRepository.class]
2024-06-10T16:05:27.595+09:00 DEBUG 22194 --- [backend] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/repository/UserRepository.class]
2024-06-10T16:05:27.596+09:00 DEBUG 22194 --- [backend] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/service/CustomUserDetailsService.class]
2024-06-10T16:05:27.596+09:00 DEBUG 22194 --- [backend] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/service/UserService.class]
2024-06-10T16:05:27.776+09:00  INFO 22194 --- [backend] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-06-10T16:05:27.779+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2024-06-10T16:05:27.782+09:00 DEBUG 22194 --- [backend] [main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'FitMotion.backend'. Automatic @Repository and @Entity scanning is enabled.
2024-06-10T16:05:27.783+09:00 DEBUG 22194 --- [backend] [main] .s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages FitMotion.backend.
2024-06-10T16:05:27.788+09:00 DEBUG 22194 --- [backend] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/repository/ExerciseRepository.class]
2024-06-10T16:05:27.788+09:00 DEBUG 22194 --- [backend] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/repository/FeedbackRepository.class]
2024-06-10T16:05:27.788+09:00 DEBUG 22194 --- [backend] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/repository/UserProfileRepository.class]
2024-06-10T16:05:27.788+09:00 DEBUG 22194 --- [backend] [main] o.s.d.r.c.RepositoryComponentProvider    : Identified candidate component class: file [/Users/lifeisgenie/Desktop/Study/Project/FitMotion/FitMotion/backend/build/classes/java/main/FitMotion/backend/repository/UserRepository.class]
2024-06-10T16:05:27.803+09:00  INFO 22194 --- [backend] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 19 ms. Found 4 JPA repository interfaces.
2024-06-10T16:05:27.842+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'springSecurityHandlerMappingIntrospectorBeanDefinitionRegistryPostProcessor'
2024-06-10T16:05:27.872+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2024-06-10T16:05:27.874+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
2024-06-10T16:05:27.874+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.sql.init.dependency.DatabaseInitializationDependencyConfigurer$DependsOnDatabaseInitializationPostProcessor'
2024-06-10T16:05:27.885+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2024-06-10T16:05:27.885+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'conversionServicePostProcessor'
2024-06-10T16:05:27.888+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2024-06-10T16:05:27.888+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2024-06-10T16:05:27.888+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2024-06-10T16:05:27.890+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2024-06-10T16:05:27.890+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2024-06-10T16:05:27.892+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
2024-06-10T16:05:27.892+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2024-06-10T16:05:27.892+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
2024-06-10T16:05:27.893+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jdbcConnectionDetailsHikariBeanPostProcessor'
2024-06-10T16:05:27.894+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2024-06-10T16:05:27.904+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2024-06-10T16:05:27.912+09:00 DEBUG 22194 --- [backend] [main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
